Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.457,0.00,0.00,0.315,0.00,0.00,0.228,0.00,0.00,0.00,6486
Client   1,0.00,0.426,0.00,0.00,0.277,0.00,0.00,0.297,0.00,0.00,5276
Client   2,0.00,0.00,0.308,0.00,0.00,0.00,0.230,0.00,0.00,0.462,6441
Client   3,0.00,0.00,0.361,0.371,0.00,0.00,0.268,0.00,0.00,0.00,5509
Client   4,0.00,0.00,0.00,0.403,0.288,0.00,0.00,0.309,0.00,0.00,5070
Client   5,0.00,0.00,0.405,0.00,0.00,0.276,0.00,0.319,0.00,0.00,4908
Client   6,0.00,0.00,0.00,0.00,0.340,0.316,0.344,0.00,0.00,0.00,4294
Client   7,0.00,0.435,0.00,0.00,0.00,0.262,0.00,0.303,0.00,0.00,5168
Client   8,0.00,0.235,0.00,0.00,0.153,0.00,0.00,0.00,0.612,0.00,9558
Client   9,0.406,0.00,0.00,0.00,0.00,0.186,0.00,0.00,0.00,0.408,7290
