Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.736,0.009,0.009,0.010,0.010,0.010,0.190,0.007,0.010,0.010,8051
Client   1,0.011,0.633,0.009,0.293,0.009,0.008,0.009,0.009,0.009,0.010,10644
Client   2,0.010,0.010,0.543,0.008,0.010,0.009,0.009,0.381,0.011,0.009,5540
Client   3,0.009,0.011,0.008,0.563,0.364,0.007,0.008,0.011,0.007,0.010,5482
Client   4,0.010,0.011,0.007,0.010,0.524,0.009,0.403,0.010,0.009,0.009,3749
Client   5,0.011,0.010,0.008,0.009,0.009,0.595,0.010,0.010,0.008,0.330,9118
Client   6,0.008,0.010,0.617,0.010,0.008,0.007,0.309,0.009,0.010,0.012,4872
Client   7,0.010,0.010,0.011,0.012,0.007,0.008,0.384,0.541,0.011,0.007,3902
Client   8,0.009,0.012,0.009,0.008,0.008,0.009,0.009,0.249,0.678,0.008,8635
Client   9,0.009,0.012,0.009,0.010,0.368,0.006,0.009,0.008,0.010,0.559,5374
