Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.956,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,6193
Client   1,0.005,0.957,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,7048
Client   2,0.005,0.005,0.957,0.005,0.005,0.005,0.005,0.005,0.005,0.005,6228
Client   3,0.005,0.005,0.005,0.956,0.005,0.005,0.005,0.005,0.005,0.005,6410
Client   4,0.005,0.005,0.005,0.005,0.956,0.005,0.005,0.005,0.005,0.005,6112
Client   5,0.005,0.005,0.005,0.005,0.005,0.956,0.005,0.005,0.005,0.005,5673
Client   6,0.005,0.005,0.005,0.005,0.005,0.005,0.956,0.005,0.005,0.005,6188
Client   7,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.956,0.005,0.005,6553
Client   8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.956,0.005,6121
Client   9,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.957,6219
